protein value method
1i6c 0.625641026 MUFOLD-CL
1i6c 0.574358974 Rosetta
1i6c 0.6 Melhor
1i6c 0.312820513 MUFOLD-CL
1i6c 0.528205128 Rosetta
1i6c 0.651282051 Melhor
1i6c 0.579487179 MUFOLD-CL
1i6c 0.492307692 Rosetta
1i6c 0.656410256 Melhor
1i6c 0.594871795 MUFOLD-CL
1i6c 0.533333333 Rosetta
1i6c 0.682051282 Melhor
1i6c 0.620512821 MUFOLD-CL
1i6c 0.441025641 Rosetta
1i6c 0.687179487 Melhor
1i6c 0.661538462 MUFOLD-CL
1i6c 0.461538462 Rosetta
1i6c 0.651282051 Melhor
1i6c 0.323076923 MUFOLD-CL
1i6c 0.451282051 Rosetta
1i6c 0.682051282 Melhor
1i6c 0.615384615 MUFOLD-CL
1i6c 0.441025641 Rosetta
1i6c 0.635897436 Melhor
1i6c 0.58974359 MUFOLD-CL
1i6c 0.538461538 Rosetta
1i6c 0.676923077 Melhor
1i6c 0.594871795 MUFOLD-CL
1i6c 0.533333333 Rosetta
1i6c 0.646153846 Melhor
1i6c 0.579487179 MUFOLD-CL
1i6c 0.528205128 Rosetta
1i6c 0.707692308 Melhor
1i6c 0.574358974 MUFOLD-CL
1i6c 0.533333333 Rosetta
1i6c 0.666666667 Melhor
1i6c 0.528205128 MUFOLD-CL
1i6c 0.558974359 Rosetta
1i6c 0.676923077 Melhor
1i6c 0.671794872 MUFOLD-CL
1i6c 0.487179487 Rosetta
1i6c 0.656410256 Melhor
1i6c 0.579487179 MUFOLD-CL
1i6c 0.502564103 Rosetta
1i6c 0.682051282 Melhor
1i6c 0.625641026 MUFOLD-CL
1i6c 0.558974359 Rosetta
1i6c 0.666666667 Melhor
1i6c 0.579487179 MUFOLD-CL
1i6c 0.517948718 Rosetta
1i6c 0.692307692 Melhor
1i6c 0.594871795 MUFOLD-CL
1i6c 0.523076923 Rosetta
1i6c 0.712820513 Melhor
1i6c 0.625641026 MUFOLD-CL
1i6c 0.564102564 Rosetta
1i6c 0.702564103 Melhor
1i6c 0.6 MUFOLD-CL
1i6c 0.435897436 Rosetta
1crn 0.826086957 Melhor
1crn 0.717391304 MUFOLD-CL
1crn 0.356521739 Rosetta
1crn 0.869565217 Melhor
1crn 0.8 MUFOLD-CL
1crn 0.408695652 Rosetta
1crn 0.908695652 Melhor
1crn 0.830434783 MUFOLD-CL
1crn 0.447826087 Rosetta
1crn 0.865217391 Melhor
1crn 0.769565217 MUFOLD-CL
1crn 0.32173913 Rosetta
1crn 0.891304348 Melhor
1crn 0.847826087 MUFOLD-CL
1crn 0.373913043 Rosetta
1crn 0.9 Melhor
1crn 0.795652174 MUFOLD-CL
1crn 0.42173913 Rosetta
1crn 0.895652174 Melhor
1crn 0.765217391 MUFOLD-CL
1crn 0.352173913 Rosetta
1crn 0.87826087 Melhor
1crn 0.747826087 MUFOLD-CL
1crn 0.426086957 Rosetta
1crn 0.908695652 Melhor
1crn 0.839130435 MUFOLD-CL
1crn 0.586956522 Rosetta
1crn 0.843478261 Melhor
1crn 0.747826087 MUFOLD-CL
1crn 0.447826087 Rosetta
1crn 0.908695652 Melhor
1crn 0.847826087 MUFOLD-CL
1crn 0.473913043 Rosetta
1crn 0.917391304 Melhor
1crn 0.852173913 MUFOLD-CL
1crn 0.413043478 Rosetta
1crn 0.9 Melhor
1crn 0.8 MUFOLD-CL
1crn 0.386956522 Rosetta
1crn 0.904347826 Melhor
1crn 0.873913043 MUFOLD-CL
1crn 0.352173913 Rosetta
1crn 0.856521739 Melhor
1crn 0.739130435 MUFOLD-CL
1crn 0.373913043 Rosetta
1crn 0.891304348 Melhor
1crn 0.734782609 MUFOLD-CL
1crn 0.456521739 Rosetta
1crn 0.87826087 Melhor
1crn 0.8 MUFOLD-CL
1crn 0.352173913 Rosetta
1crn 0.856521739 Melhor
1crn 0.817391304 MUFOLD-CL
1crn 0.304347826 Rosetta
1crn 0.891304348 Melhor
1crn 0.834782609 MUFOLD-CL
1crn 0.404347826 Rosetta
1crn 0.852173913 Melhor
1crn 0.769565217 MUFOLD-CL
1crn 0.360869565 Rosetta
1crn 0.839130435 Melhor
1crn 0.743478261 MUFOLD-CL
1crn 0.526086957 Rosetta
1crn 0.873913043 Melhor
1crn 0.804347826 MUFOLD-CL
1crn 0.373913043 Rosetta
1crn 0.882608696 Melhor
1crn 0.791304348 MUFOLD-CL
1crn 0.465217391 Rosetta
1crn 0.913043478 Melhor
1crn 0.856521739 MUFOLD-CL
1crn 0.456521739 Rosetta
1crn 0.9 Melhor
1crn 0.856521739 MUFOLD-CL
1crn 0.447826087 Rosetta
1crn 0.852173913 Melhor
1crn 0.734782609 MUFOLD-CL
1crn 0.447826087 Rosetta
1crn 0.873913043 Melhor
1crn 0.795652174 MUFOLD-CL
1crn 0.52173913 Rosetta
1crn 0.847826087 Melhor
1crn 0.747826087 MUFOLD-CL
1crn 0.313043478 Rosetta
1crn 0.882608696 Melhor
1crn 0.826086957 MUFOLD-CL
1crn 0.343478261 Rosetta
1crn 0.852173913 Melhor
1crn 0.691304348 MUFOLD-CL
1crn 0.313043478 Rosetta
1crn 0.882608696 Melhor
1crn 0.782608696 MUFOLD-CL
1crn 0.404347826 Rosetta
1crn 0.830434783 Melhor
1crn 0.756521739 MUFOLD-CL
1crn 0.356521739 Rosetta
1gb1 0.785714286 Melhor
1gb1 0.728571429 MUFOLD-CL
1gb1 0.807142857 Rosetta
1gb1 0.757142857 Melhor
1gb1 0.667857143 MUFOLD-CL
1gb1 0.817857143 Rosetta
1gb1 0.8 Melhor
1gb1 0.7 MUFOLD-CL
1gb1 0.567857143 Rosetta
1gb1 0.803571429 Melhor
1gb1 0.757142857 MUFOLD-CL
1gb1 0.796428571 Rosetta
1gb1 0.764285714 Melhor
1gb1 0.596428571 MUFOLD-CL
1gb1 0.796428571 Rosetta
1gb1 0.760714286 Melhor
1gb1 0.617857143 MUFOLD-CL
1gb1 0.889285714 Rosetta
1gb1 0.757142857 Melhor
1gb1 0.542857143 MUFOLD-CL
1gb1 0.760714286 Rosetta
1gb1 0.8 Melhor
1gb1 0.757142857 MUFOLD-CL
1gb1 0.703571429 Rosetta
1gb1 0.771428571 Melhor
1gb1 0.671428571 MUFOLD-CL
1gb1 0.75 Rosetta
1gb1 0.757142857 Melhor
1gb1 0.553571429 MUFOLD-CL
1gb1 0.7 Rosetta
1gb1 0.782142857 Melhor
1gb1 0.692857143 MUFOLD-CL
1gb1 0.778571429 Rosetta
1gb1 0.789285714 Melhor
1gb1 0.739285714 MUFOLD-CL
1gb1 0.803571429 Rosetta
1gb1 0.757142857 Melhor
1gb1 0.689285714 MUFOLD-CL
1gb1 0.825 Rosetta
1gb1 0.785714286 Melhor
1gb1 0.728571429 MUFOLD-CL
1gb1 0.610714286 Rosetta
1gb1 0.807142857 Melhor
1gb1 0.696428571 MUFOLD-CL
1gb1 0.85 Rosetta
1gb1 0.821428571 Melhor
1gb1 0.771428571 MUFOLD-CL
1gb1 0.807142857 Rosetta
1gb1 0.814285714 Melhor
1gb1 0.746428571 MUFOLD-CL
1gb1 0.753571429 Rosetta
1gb1 0.803571429 Melhor
1gb1 0.728571429 MUFOLD-CL
1gb1 0.535714286 Rosetta
1gb1 0.796428571 Melhor
1gb1 0.667857143 MUFOLD-CL
1gb1 0.721428571 Rosetta
1gb1 0.796428571 Melhor
1gb1 0.714285714 MUFOLD-CL
1gb1 0.810714286 Rosetta
1gb1 0.767857143 Melhor
1gb1 0.682142857 MUFOLD-CL
1gb1 0.682142857 Rosetta
1gb1 0.735714286 Melhor
1gb1 0.6 MUFOLD-CL
1gb1 0.717857143 Rosetta
1gb1 0.725 Melhor
1gb1 0.546428571 MUFOLD-CL
1gb1 0.532142857 Rosetta
1gb1 0.782142857 Melhor
1gb1 0.739285714 MUFOLD-CL
1gb1 0.846428571 Rosetta
1gb1 0.792857143 Melhor
1gb1 0.760714286 MUFOLD-CL
1gb1 0.485714286 Rosetta
1gb1 0.792857143 Melhor
1gb1 0.75 MUFOLD-CL
1gb1 0.85 Rosetta
1gb1 0.764285714 Melhor
1gb1 0.689285714 MUFOLD-CL
1gb1 0.75 Rosetta
1gb1 0.8 Melhor
1gb1 0.721428571 MUFOLD-CL
1gb1 0.7 Rosetta
1gb1 0.810714286 Melhor
1gb1 0.717857143 MUFOLD-CL
1gb1 0.835714286 Rosetta
1gb1 0.803571429 Melhor
1gb1 0.735714286 MUFOLD-CL
1gb1 0.814285714 Rosetta
1gb1 0.782142857 Melhor
1gb1 0.717857143 MUFOLD-CL
1gb1 0.503571429 Rosetta
1gb1 0.807142857 Melhor
1gb1 0.775 MUFOLD-CL
1gb1 0.739285714 Rosetta
1hhp 0.381818182 Melhor
1hhp 0.193939394 MUFOLD-CL
1hhp 0.15959596 Rosetta
1hhp 0.41010101 Melhor
1hhp 0.234343434 MUFOLD-CL
1hhp 0.181818182 Rosetta
1hhp 0.355555556 Melhor
1hhp 0.288888889 MUFOLD-CL
1hhp 0.157575758 Rosetta
1hhp 0.482828283 Melhor
1hhp 0.442424242 MUFOLD-CL
1hhp 0.163636364 Rosetta
1hhp 0.361616162 Melhor
1hhp 0.191919192 MUFOLD-CL
1hhp 0.183838384 Rosetta
1hhp 0.349494949 Melhor
1hhp 0.252525253 MUFOLD-CL
1hhp 0.234343434 Rosetta
1hhp 0.339393939 Melhor
1hhp 0.256565657 MUFOLD-CL
1hhp 0.155555556 Rosetta
1hhp 0.43030303 Melhor
1hhp 0.377777778 MUFOLD-CL
1hhp 0.153535354 Rosetta
1hhp 0.357575758 Melhor
1hhp 0.290909091 MUFOLD-CL
1hhp 0.145454545 Rosetta
1hhp 0.329292929 Melhor
1hhp 0.250505051 MUFOLD-CL
1hhp 0.141414141 Rosetta
1hhp 0.357575758 Melhor
1hhp 0.216161616 MUFOLD-CL
1hhp 0.143434343 Rosetta
1hhp 0.365656566 Melhor
1hhp 0.252525253 MUFOLD-CL
1hhp 0.131313131 Rosetta
1hhp 0.303030303 Melhor
1hhp 0.222222222 MUFOLD-CL
1hhp 0.161616162 Rosetta
1hhp 0.412121212 Melhor
1hhp 0.296969697 MUFOLD-CL
1hhp 0.153535354 Rosetta
1hhp 0.448484848 Melhor
1hhp 0.337373737 MUFOLD-CL
1hhp 0.163636364 Rosetta
1hhp 0.377777778 Melhor
1hhp 0.319191919 MUFOLD-CL
1hhp 0.149494949 Rosetta
1hhp 0.412121212 Melhor
1hhp 0.305050505 MUFOLD-CL
1hhp 0.143434343 Rosetta
1hhp 0.325252525 Melhor
1hhp 0.216161616 MUFOLD-CL
1hhp 0.143434343 Rosetta
1hhp 0.377777778 Melhor
1hhp 0.262626263 MUFOLD-CL
1hhp 0.16969697 Rosetta
1hhp 0.395959596 Melhor
1hhp 0.373737374 MUFOLD-CL
1hhp 0.143434343 Rosetta
1hhp 0.412121212 Melhor
1hhp 0.412121212 MUFOLD-CL
1hhp 0.123232323 Rosetta
1hhp 0.377777778 Melhor
1hhp 0.276767677 MUFOLD-CL
1hhp 0.145454545 Rosetta
1hhp 0.349494949 Melhor
1hhp 0.286868687 MUFOLD-CL
1hhp 0.21010101 Rosetta
1hhp 0.422222222 Melhor
1hhp 0.327272727 MUFOLD-CL
1hhp 0.135353535 Rosetta
1hhp 0.442424242 Melhor
1hhp 0.375757576 MUFOLD-CL
1hhp 0.135353535 Rosetta
1hhp 0.317171717 Melhor
1hhp 0.218181818 MUFOLD-CL
1hhp 0.167676768 Rosetta
1hhp 0.327272727 Melhor
1hhp 0.254545455 MUFOLD-CL
1hhp 0.143434343 Rosetta
1hhp 0.345454545 Melhor
1hhp 0.228282828 MUFOLD-CL
1hhp 0.246464646 Rosetta
1hhp 0.426262626 Melhor
1hhp 0.365656566 MUFOLD-CL
1hhp 0.193939394 Rosetta
1hhp 0.329292929 Melhor
1hhp 0.216161616 MUFOLD-CL
1hhp 0.137373737 Rosetta
1hhp 0.535353535 Melhor
1hhp 0.519191919 MUFOLD-CL
1hhp 0.123232323 Rosetta
1hhp 0.373737374 Melhor
1hhp 0.252525253 MUFOLD-CL
1hhp 0.149494949 Rosetta
T0868 0.577586207 Melhor
T0868 0.443103448 MUFOLD-CL
T0868 0.120689655 Rosetta
T0868 0.389655172 Melhor
T0868 0.237931034 MUFOLD-CL
T0868 0.139655172 Rosetta
T0868 0.489655172 Melhor
T0868 0.368965517 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.512068966 Melhor
T0868 0.427586207 MUFOLD-CL
T0868 0.134482759 Rosetta
T0868 0.556896552 Melhor
T0868 0.422413793 MUFOLD-CL
T0868 0.132758621 Rosetta
T0868 0.567241379 Melhor
T0868 0.413793103 MUFOLD-CL
T0868 0.117241379 Rosetta
T0868 0.439655172 Melhor
T0868 0.303448276 MUFOLD-CL
T0868 0.155172414 Rosetta
T0868 0.425862069 Melhor
T0868 0.237931034 MUFOLD-CL
T0868 0.125862069 Rosetta
T0868 0.437931034 Melhor
T0868 0.34137931 MUFOLD-CL
T0868 0.117241379 Rosetta
T0868 0.536206897 Melhor
T0868 0.334482759 MUFOLD-CL
T0868 0.125862069 Rosetta
T0868 0.613793103 Melhor
T0868 0.484482759 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.525862069 Melhor
T0868 0.398275862 MUFOLD-CL
T0868 0.134482759 Rosetta
T0868 0.625862069 Melhor
T0868 0.579310345 MUFOLD-CL
T0868 0.134482759 Rosetta
T0868 0.506896552 Melhor
T0868 0.4 MUFOLD-CL
T0868 0.163793103 Rosetta
T0868 0.572413793 Melhor
T0868 0.422413793 MUFOLD-CL
T0868 0.120689655 Rosetta
T0868 0.506896552 Melhor
T0868 0.4 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.612068966 Melhor
T0868 0.515517241 MUFOLD-CL
T0868 0.134482759 Rosetta
T0868 0.606896552 Melhor
T0868 0.501724138 MUFOLD-CL
T0868 0.137931034 Rosetta
T0868 0.620689655 Melhor
T0868 0.44137931 MUFOLD-CL
T0868 0.134482759 Rosetta
T0868 0.436206897 Melhor
T0868 0.325862069 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.456896552 Melhor
T0868 0.356896552 MUFOLD-CL
T0868 0.10862069 Rosetta
T0868 0.487931034 Melhor
T0868 0.446551724 MUFOLD-CL
T0868 0.115517241 Rosetta
T0868 0.524137931 Melhor
T0868 0.427586207 MUFOLD-CL
T0868 0.124137931 Rosetta
T0868 0.527586207 Melhor
T0868 0.448275862 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.563793103 Melhor
T0868 0.45862069 MUFOLD-CL
T0868 0.14137931 Rosetta
T0868 0.525862069 Melhor
T0868 0.394827586 MUFOLD-CL
T0868 0.144827586 Rosetta
T0868 0.539655172 Melhor
T0868 0.318965517 MUFOLD-CL
T0868 0.124137931 Rosetta
T0868 0.486206897 Melhor
T0868 0.405172414 MUFOLD-CL
T0868 0.118965517 Rosetta
T0868 0.472413793 Melhor
T0868 0.401724138 MUFOLD-CL
T0868 0.117241379 Rosetta
T0868 0.543103448 Melhor
T0868 0.35862069 MUFOLD-CL
T0868 0.132758621 Rosetta
T0868 0.5 Melhor
T0868 0.398275862 MUFOLD-CL
T0868 0.132758621 Rosetta
T0868 0.537931034 Melhor
T0868 0.336206897 MUFOLD-CL
T0868 0.120689655 Rosetta
T0900 0.403921569 Melhor
T0900 0.223529412 MUFOLD-CL
T0900 0.113207547 Rosetta
T0900 0.32745098 Melhor
T0900 0.194117647 MUFOLD-CL
T0900 0.10754717 Rosetta
T0900 0.309803922 Melhor
T0900 0.194117647 MUFOLD-CL
T0900 0.11509434 Rosetta
T0900 0.421568627 Melhor
T0900 0.339215686 MUFOLD-CL
T0900 0.11509434 Rosetta
T0900 0.425490196 Melhor
T0900 0.356862745 MUFOLD-CL
T0900 0.10754717 Rosetta
T0900 0.264705882 Melhor
T0900 0.198039216 MUFOLD-CL
T0900 0.116981132 Rosetta
T0900 0.364705882 Melhor
T0900 0.22745098 MUFOLD-CL
T0900 0.098113208 Rosetta
T0900 0.317647059 Melhor
T0900 0.192156863 MUFOLD-CL
T0900 0.098113208 Rosetta
T0900 0.303921569 Melhor
T0900 0.233333333 MUFOLD-CL
T0900 0.09245283 Rosetta
T0900 0.368627451 Melhor
T0900 0.196078431 MUFOLD-CL
T0900 0.111320755 Rosetta
T0900 0.323529412 Melhor
T0900 0.203921569 MUFOLD-CL
T0900 0.111320755 Rosetta
T0900 0.32745098 Melhor
T0900 0.237254902 MUFOLD-CL
T0900 0.130188679 Rosetta
T0900 0.284313725 Melhor
T0900 0.211764706 MUFOLD-CL
T0900 0.090566038 Rosetta
T0900 0.362745098 Melhor
T0900 0.250980392 MUFOLD-CL
T0900 0.101886792 Rosetta
T0900 0.341176471 Melhor
T0900 0.211764706 MUFOLD-CL
T0900 0.122641509 Rosetta
T0900 0.31372549 Melhor
T0900 0.225490196 MUFOLD-CL
T0900 0.116981132 Rosetta
T0900 0.319607843 Melhor
T0900 0.205882353 MUFOLD-CL
T0900 0.133962264 Rosetta
T0900 0.331372549 Melhor
T0900 0.239215686 MUFOLD-CL
T0900 0.116981132 Rosetta
T0900 0.38627451 Melhor
T0900 0.325490196 MUFOLD-CL
T0900 0.096226415 Rosetta
T0900 0.282352941 Melhor
T0900 0.237254902 MUFOLD-CL
T0900 0.135849057 Rosetta
T0900 0.301960784 Melhor
T0900 0.301960784 MUFOLD-CL
T0900 0.11509434 Rosetta
T0900 0.321568627 Melhor
T0900 0.258823529 MUFOLD-CL
T0900 0.122641509 Rosetta
T0900 0.360784314 Melhor
T0900 0.280392157 MUFOLD-CL
T0900 0.122641509 Rosetta
T0900 0.354901961 Melhor
T0900 0.188235294 MUFOLD-CL
T0900 0.126415094 Rosetta
T0900 0.290196078 Melhor
T0900 0.178431373 MUFOLD-CL
T0900 0.126415094 Rosetta
T0900 0.319607843 Melhor
T0900 0.188235294 MUFOLD-CL
T0900 0.111320755 Rosetta
T0900 0.292156863 Melhor
T0900 0.22745098 MUFOLD-CL
T0900 0.09245283 Rosetta
T0900 0.333333333 Melhor
T0900 0.249019608 MUFOLD-CL
T0900 0.088679245 Rosetta
T0900 0.28627451 Melhor
T0900 0.21372549 MUFOLD-CL
T0900 0.113207547 Rosetta
T0900 0.325490196 Melhor
T0900 0.17254902 MUFOLD-CL
T0900 0.083018868 Rosetta
T0900 0.478431373 Melhor
T0900 0.368627451 MUFOLD-CL
T0900 0.096226415 Rosetta
T0900 0.339215686 Melhor
T0900 0.296078431 MUFOLD-CL
T0900 0.103773585 Rosetta
